Category,Message,TokenizedMessage,ProcessedMessage
"ham","Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.","Ok,lar,i,double,check,wif,da,hair,dresser,already,he,said,wun,cut,v,short.,He,said,will,cut,until,i,look,nice.","Ok lar doubl check wif da hair dr already said wun cut v short. H said cut look nice."
"spam","As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",""As","a","valued","customer,","I","am","pleased","to","advise","you","that","following","recent","review","of","your","Mob","No.","you","are","awarded","with","a","£1500","Bonus","Prize,","call","09066364589"","A valu customer, I plea adv follow cent view Mob No. award £1500 Bonu Prize, call 09066364589"
"ham","Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",""Today","is","""song","dedicated","day..""","Which","song","will","u","dedicate","for","me?","Send","this","to","all","ur","valuable","frnds","but","first","rply","me..."","Today ""song dedicat day.."" Which song u dedicat me? Send ur valu frnd first rp me..."
"spam","Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",""Urgent","UR","awarded","a","complimentary","trip","to","EuroDisinc","Trav,","Aco&Entry41","Or","£1000.","To","claim","txt","DIS","to","87121","18+6*£1.50(moreFrmMob.","ShrAcomOrSglSuplt)10,","LS1","3AJ"","Urgent UR award complimentary trip EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ"
"spam","Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",""Did","you","hear","about","the","new","""Divorce","Barbie""?","It","comes","with","all","of","Ken's","stuff!"","Did hear new ""Divorc Barbie""? It com Ken' stuff!"
"ham","I plane to give on this month end.","I,plane,to,give,on,this,month,end.","I plan giv month end."
"ham","Wah lucky man... Then can save money... Hee...","Wah,lucky,man...,Then,can,save,money...,Hee...","Wah lucky man... Then sav money... Hee..."
"ham","Finished class where are you.","Finished,class,where,are,you.","Finish cla you."
"ham","HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX","HI,BABE,IM,AT,HOME,NOW,WANNA,DO,SOMETHING?,XX","HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX"
"ham","K..k:)where are you?how did you performed?","K..k:)where,are,you?how,did,you,performed?","K..k:)wh you?how performed?"
"ham","U can call me now...","U,can,call,me,now...","U call now..."
"ham","I am waiting machan. Call me once you free.","I,am,waiting,machan.,Call,me,once,you,free.","I wait machan. Call free."
"ham","Thats cool. i am a gentleman and will treat you with dignity and respect.","Thats,cool.,i,am,a,gentleman,and,will,treat,you,with,dignity,and,respect.","That cool. gentleman treat dignity spect."
"ham","I like you peoples very much:) but am very shy pa.","I,like,you,peoples,very,much:),but,am,very,shy,pa.","I lik peopl much:) shy pa."
"ham","Does not operate after  &lt;#&gt;  or what","Does,not,operate,after,&lt;#&gt;,or,what","Do operat &lt;#&gt;"
"ham","Its not the same here. Still looking for a job. How much do Ta's earn there.","Its,not,the,same,here.,Still,looking,for,a,job.,How,much,do,Ta's,earn,there.","It here. Still look job. How much Ta' earn there."
"ham","Sorry, I'll call later",""Sorry,","I'll","call","later"","Sorry, I'll call lat"
"ham","K. Did you call me just now ah?","K.,Did,you,call,me,just,now,ah?","K. Did call ah?"
"ham","Ok i am on the way to home hi hi","Ok,i,am,on,the,way,to,home,hi,hi","Ok way hom hi hi"
"ham","You will be in the place of that man","You,will,be,in,the,place,of,that,man","You plac man"
"ham","Yup next stop.","Yup,next,stop.","Yup next stop."
"ham","I call you later, don't have network. If urgnt, sms me.",""I","call","you","later,","don't","have","network.","If","urgnt,","sms","me."","I call later, network. If urgnt, sm me."
"ham","For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.","For,real,when,u,getting,on,yo?,I,only,need,2,more,tickets,and,one,more,jacket,and,I'm,done.,I,already,used,all,my,multis.","For u gett yo? I n 2 ticket on jacket I'm done. I already u multis."
"ham","Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.","Yes,I,started,to,send,requests,to,make,it,but,pain,came,back,so,I'm,back,in,bed.,Double,coins,at,the,factory,too.,I,gotta,cash,in,all,my,nitros.","Y I start send qu mak pain cam back I'm back bed. Doubl coin factory too. I gotta cash nitros."
"ham","I'm really not up to it still tonight babe","I'm,really,not,up,to,it,still,tonight,babe","I'm still tonight bab"
"ham","Ela kano.,il download, come wen ur free..",""Ela","kano.,il","download,","come","wen","ur","free.."","Ela kano.,il download, com wen ur free.."
"ham","Yeah do! Don‘t stand to close tho- you‘ll catch something!","Yeah,do!,Don‘t,stand,to,close,tho-,you‘ll,catch,something!","Yeah do! Don‘t stand clo tho- you‘ll catch something!"
"ham","Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry.","Sorry,to,be,a,pain.,Is,it,ok,if,we,meet,another,night?,I,spent,late,afternoon,in,casualty,and,that,means,i,haven't,done,any,of,y,stuff42moro,and,that,includes,all,my,time,sheets,and,that.,Sorry.","Sorry pain. I ok meet anoth night? I spent lat afternoon casualty mean don stuff42moro includ tim sheet that. Sorry."
"ham","Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!","Smile,in,Pleasure,Smile,in,Pain,Smile,when,trouble,pours,like,Rain,Smile,when,sum1,Hurts,U,Smile,becoz,SOMEONE,still,Loves,to,see,u,Smiling!!","Smil Pleasur Smil Pain Smil troubl pour lik Rain Smil sum1 Hurt U Smil becoz SOMEONE still Lov u Smiling!!"
"spam","Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!","Please,call,our,customer,service,representative,on,0800,169,6031,between,10am-9pm,as,you,have,WON,a,guaranteed,£1000,cash,or,£5000,prize!","Plea call custom servic sent 0800 169 6031 10am-9pm WON guarant £1000 cash £5000 prize!"
"ham","Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?","Havent,planning,to,buy,later.,I,check,already,lido,only,got,530,show,in,e,afternoon.,U,finish,work,already?","Havent plann buy later. I check already lido got 530 show afternoon. U finish work already?"
"spam","Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",""Your","free","ringtone","is","waiting","to","be","collected.","Simply","text","the","password","""MIX""","to","85069","to","verify.","Get","Usher","and","Britney.","FML,","PO","Box","5249,","MK17","92H.","450Ppw","16"","Your fr rington wait collected. Simp text password ""MIX"" 85069 verify. Get Ush Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16"
"ham","Watching telugu movie..wat abt u?","Watching,telugu,movie..wat,abt,u?","Watch telugu movie..wat abt u?"
"ham","i see. When we finish we have loads of loans to pay","i,see.,When,we,finish,we,have,loads,of,loans,to,pay","see. When finish load loan pay"
"ham","Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""",""Hi.","Wk","been","ok","-","on","hols","now!","Yes","on","for","a","bit","of","a","run.","Forgot","that","i","have","hairdressers","appointment","at","four","so","need","to","get","home","n","shower","beforehand.","Does","that","cause","prob","for","u?"""","Hi. Wk ok - hol now! Y t run. Forgot hairdr appoint four n get hom n show beforehand. Do cau prob u?"""
"ham","I see a cup of coffee animation","I,see,a,cup,of,coffee,animation","I cup coff anima"
"ham","Please don't text me anymore. I have nothing else to say.","Please,don't,text,me,anymore.,I,have,nothing,else,to,say.","Plea text anymore. I noth el say."
"ham","Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx","Okay,name,ur,price,as,long,as,its,legal!,Wen,can,I,pick,them,up?,Y,u,ave,x,ams,xx","Okay nam ur pric long legal! Wen I pick up? Y u av x am xx"
"ham","I'm still looking for a car to buy. And have not gone 4the driving test yet.","I'm,still,looking,for,a,car,to,buy.,And,have,not,gone,4the,driving,test,yet.","I'm still look car buy. And gon 4th driv t yet."
"ham","As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune","As,per,your,request,'Melle,Melle,(Oru,Minnaminunginte,Nurungu,Vettam)',has,been,set,as,your,callertune,for,all,Callers.,Press,*9,to,copy,your,friends,Callertune","A p qu 'Mell Mell (Oru Minnaminungint Nurungu Vettam)' set callertun Callers. Pr *9 copy friend Callertun"
"ham","wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",""wow.","You're","right!","I","didn't","mean","to","do","that.","I","guess","once","i","gave","up","on","boston","men","and","changed","my","search","location","to","nyc,","something","changed.","Cuz","on","my","signin","page","it","still","says","boston."","wow. You'r right! I mean that. I gu gav boston men chang search loca nyc, someth changed. Cuz signin pag still say boston."
"ham","Umma my life and vava umma love you lot dear","Umma,my,life,and,vava,umma,love,you,lot,dear","Umma lif vava umma lov lot dear"
"ham","Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.","Thanks,a,lot,for,your,wishes,on,my,birthday.,Thanks,you,for,making,my,birthday,truly,memorable.","Thank lot wish rthday. Thank mak rthday tru memorable."
"ham","Aight, I'll hit you up when I get some cash",""Aight,","I'll","hit","you","up","when","I","get","some","cash"","Aight, I'll hit I get cash"
"ham","How would my ip address test that considering my computer isn't a minecraft server","How,would,my,ip,address,test,that,considering,my,computer,isn't,a,minecraft,server","How would ip addr t consid comput minecraft serv"
"ham","I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...","I,know!,Grumpy,old,people.,My,mom,was,like,you,better,not,be,lying.,Then,again,I,am,always,the,one,to,play,jokes...","I know! Grumpy old people. My mom lik bett lying. Then I alway on play jokes..."
"ham","Dont worry. I guess he's busy.","Dont,worry.,I,guess,he's,busy.","Dont worry. I gu he' busy."
"ham","What is the plural of the noun research?","What,is,the,plural,of,the,noun,research?","What plur noun search?"
"ham","Going for dinner.msg you after.","Going,for,dinner.msg,you,after.","Go dinner.msg after."
"ham","I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.","I'm,ok,wif,it,cos,i,like,2,try,new,things.,But,i,scared,u,dun,like,mah.,Cos,u,said,not,too,loud.","I'm ok wif co lik 2 try new things. But scar u dun lik mah. Co u said loud."
"spam","GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm","GENT!,We,are,trying,to,contact,you.,Last,weekends,draw,shows,that,you,won,a,£1000,prize,GUARANTEED.,Call,09064012160.,Claim,Code,K52.,Valid,12hrs,only.,150ppm","GENT! W try contact you. Last weekend draw show £1000 pr GUARANTEED. Call 09064012160. Claim Cod K52. Valid 12hr only. 150ppm"
